what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1296954174116
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1296954174223
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1296954174648
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1296954174650
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1296954175258
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1296954176246
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1296954177016
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1296954177625
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1296954177889
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1296954177952
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1296954178415
started,bundle,org.eclipse.dltk.core.index.sql,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql",1296954179809
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1296954181250
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1296954187688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1296954322605
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296954325480
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1296954326347
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1296954327077
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1296954328937
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1296954330463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1296954532406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1296954942745
